Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-03-10 08:25:02,false,"Florianópolis Open Water Swimming","1,948","443","00:51:01","125","152","2.6","2:37","1:07","0.0","903","51","17","-9","18.0","No","00:11:36","4","31.0","00:40:50","00:51:01"
Open Water Swimming,2025-03-08 08:49:55,false,"Florianópolis Open Water Swimming","6,963","1,039","02:17:20","127","154","3.0","1:58","1:02","0.0","3459","42","25","-17","19.0","No","00:08:50.0","14","21.0","02:14:34","02:17:20"
Open Water Swimming,2025-03-07 07:16:21,false,"Florianópolis Open Water Swimming","2,007","419","00:46:08","130","157","2.6","2:18","1:00","0.0","863","45","19","-9","18.0","No","00:00:09.6","5","30.0","00:40:30","00:46:08"
Open Water Swimming,2025-03-05 07:12:13,false,"Florianópolis Open Water Swimming","1,808","370","00:48:33","120","152","2.2","2:41","0:34","0.0","737","50","15","-8","19.0","No","00:06:48.8","4","33.0","00:39:04","00:48:33"
Pool Swim,2025-02-27 07:45:29,false,"Pool Swim","2,725","715","00:46:35","145","157","3.6","1:43","1:13","0.0","1166","36","25","--","--","No","00:46:35","1","--","00:46:35","00:46:58"
Open Water Swimming,2025-02-26 07:11:58,false,"Florianópolis Open Water Swimming","1,886","281","00:51:16","103","144","1.5","2:43","0:37","0.0","801","51","15","-6","25.0","No","00:09:42.9","4","32.0","00:40:38","00:51:16"
Pool Swim,2025-02-24 20:29:27,false,"Pool Swim","2,350","492","00:45:51","135","152","2.9","1:55","1:05","0.0","1071","40","24","--","--","No","00:45:51","1","--","00:45:04","00:45:56"
Open Water Swimming,2025-02-24 07:13:35,false,"Florianópolis Open Water Swimming","1,832","430","00:57:02","125","177","2.7","3:07","0:38","0.0","543","54","13","-9","26.0","No","00:11:03","4","30.0","00:39:48","00:57:02"
Open Water Swimming,2025-02-22 07:40:36,false,"Florianópolis Open Water Swimming","3,679","566","01:17:51","128","147","2.9","2:07","1:07","0.0","1745","44","22","-14","25.0","No","00:03:49.5","8","31.0","01:11:25","01:17:51"
Pool Swim,2025-02-21 19:45:28,false,"Pool Swim","2,600","425","00:45:12","141","156","3.3","1:44","1:31","0.0","1130","37","25","--","--","No","00:45:12","1","--","00:45:12","00:45:21"
Open Water Swimming,2025-02-21 07:15:52,false,"Florianópolis Open Water Swimming","2,225","439","00:51:13","135","174","3.3","2:18","0:47","0.0","881","44","17","-13","24.0","No","00:05:08.5","5","31.0","00:43:57","00:51:13"
Pool Swim,2025-02-20 07:46:32,false,"Pool Swim","2,650","454","00:46:35","142","158","3.6","1:45","1:30","0.0","1144","37","25","--","--","No","00:46:35","1","--","00:46:35","00:46:44"
Pool Swim,2025-02-19 20:31:38,false,"Pool Swim","2,600","429","00:45:45","139","153","3.1","1:46","1:30","0.0","1139","37","25","--","--","No","00:45:45","1","--","00:45:45","00:46:06"
Open Water Swimming,2025-02-19 07:14:46,false,"Florianópolis Open Water Swimming","2,250","472","00:56:58","134","181","3.3","2:32","1:07","0.0","1152","51","20","-13","22.0","No","00:05:50.8","5","28.0","00:46:56","00:56:58"
Pool Swim,2025-02-18 07:48:48,false,"Pool Swim","2,600","459","00:46:01","144","160","3.8","1:46","1:18","0.0","1098","37","24","--","--","No","00:46:01","1","--","00:46:01","00:46:24"
Pool Swim,2025-01-28 07:49:27,false,"Pool Swim","2,550","439","00:45:19","146","181","3.3","1:47","1:31","0.0","1059","37","23","--","--","No","00:45:19","1","--","00:45:19","00:45:28"
Open Water Swimming,2025-01-27 07:14:26,false,"Florianópolis Open Water Swimming","1,817","473","00:47:00","151","180","3.4","2:35","0:08","0.0","698","48","15","-10","24.0","No","00:00:08.0","5","29.0","00:37:55","00:47:08"
Pool Swim,2025-01-23 07:48:43,false,"Pool Swim","2,425","465","00:44:12","153","182","4.9","1:48","1:12","0.0","998","37","23","--","--","No","00:44:12","1","--","00:43:43","00:44:23"
Pool Swim,2025-01-21 21:19:06,false,"Pool Swim","2,100","383","00:41:36","131","165","3.0","1:44","1:14","0.0","882","37","24","--","--","No","00:41:36","1","--","00:36:31","00:41:45"
Pool Swim,2025-01-20 20:36:53,false,"Pool Swim","1,725","484","00:41:56","146","173","4.1","1:46","1:01","0.0","717","37","23","--","--","No","00:00:02.9","7","--","00:30:34","00:43:17"
