Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-09-11 08:31:41,false,"Florianópolis Open Water Swimming","1,673","357","00:42:58","114","140","1.9","2:34","1:27","0.0","854","51","20","-5","18.0","No","00:03:49.3","4","28.0","00:38:02","00:42:58"
Pool Swim,2025-09-10 19:47:28,false,"Pool Swim","2,175","548","00:40:22","145","175","3.5","1:50","0:53","0.0","931","38","23","--","--","No","00:40:22","1","--","00:39:43","00:40:27"
Pool Swim,2025-09-08 19:45:04,false,"Pool Swim","2,450","538","00:45:01","136","168","3.1","1:50","1:15","0.0","1050","38","23","--","--","No","00:45:01","1","--","00:45:01","00:45:37"
Open Water Swimming,2025-09-08 07:19:48,false,"Florianópolis Open Water Swimming","1,838","320","00:35:28","119","142","2.0","1:56","1:08","0.0","700","38","19","-4","18.0","No","00:06:30.8","4","23.0","00:34:10","00:35:28"
Open Water Swimming,2025-09-03 07:22:15,false,"Florianópolis Open Water Swimming","1,963","495","00:41:02","143","178","3.3","2:05","0:48","0.0","455","37","11","-9","19.0","No","00:09:35.9","4","23.0","00:34:53","00:41:02"
Open Water Swimming,2025-09-01 07:13:26,false,"Florianópolis Open Water Swimming","1,832","505","00:50:09","128","155","2.8","2:44","1:07","0.0","937","54","18","-10","18.0","No","00:06:19.8","4","24.0","00:42:42","00:50:09"
Open Water Swimming,2025-08-29 07:16:41,false,"Florianópolis Open Water Swimming","2,401","488","00:50:03","129","151","2.8","2:05","1:07","0.0","1046","42","21","-9","17.0","No","00:07:19.6","5","25.0","00:47:32","00:50:03"
Open Water Swimming,2025-08-27 07:15:49,false,"Florianópolis Open Water Swimming","2,143","500","00:49:16","136","156","2.8","2:18","1:07","0.0","1069","47","21","-10","17.0","No","00:03:55.5","5","23.0","00:45:43","00:49:16"
Open Water Swimming,2025-08-22 07:18:08,false,"Florianópolis Open Water Swimming","1,954","251","00:51:20","93","138","0.8","2:37","1:07","0.0","690","48","13","-5","18.0","No","00:11:15","4","23.0","00:41:16","00:51:20"
Pool Swim,2025-08-20 19:34:37,false,"Pool Swim","1,575","522","00:45:21","154","210","3.5","2:07","1:06","0.0","796","44","24","--","--","No","00:45:21","1","--","00:33:13","00:45:34"
Pool Swim,2025-08-19 19:47:31,false,"Pool Swim","1,250","448","00:42:48","152","167","3.4","2:17","1:15","0.0","694","48","24","--","--","No","00:42:48","1","--","00:28:36","00:42:54"
